Başlık,Şikayet
"Kapıda İade Talebim Zamanında Alınmadı, Bilgilendirme Yapılmadı Mağdur Oldum","14 Temmuzda günü Kargoist firması tarafından kapıda iade talebim bulunmaktaydı. Ancak gün bitmesine rağmen ne gelen vardı, ne de giden. N11'e defalarca sordum. 20:00'a kadar gelmezse bize bildirin dediler. Fakat bir şey olmadı. Talebi iptal edip tekrardan açmam gerektiğini söylediler. Bugün ise 15 Temmuz yani dolayısıyla, resmi tatil olması nedeniyle bugünde gelmeyeceklermiş. Ben böyle sorumsuzluk görmedim. İade talebim bu firma yüzünden beklemek zorunda kaldı. 19:47'de Mail attım. Sitelerini buldum. Ona dahi geri dönüş sağlanmadı. Telefon ile aradım. Telesekretere yönlendiriyordu. Mesai saatleri dışındalarmış. Evde ateşim var hastayım. Bir de böyle şeylerle uğraşıyorum. Hayır benim anlamadığım şey, ne bir bildirim ne de bir mesaj yollandı. Şu kadar saat sonra kapınızdayız vb. Gibi. Belki de kargo firmasının haberi bile yoktu. Bana N11 müşteri temsilcileri yoğunluktan dolayı olduğunu söylediler. Fakat hiçbir şekilde tek bir mesaj ile bile olsa bilgilendirme yapılmadı. Veya '' özür dileriz 15 Temmuz resmi tatil günümüz, onun için öbür gün kuryemize ürününüzü teslim edebilirsiniz. '' şeklinde bir bilgilendirme yapılabilirdi. Bana kendim gidip teslim edebileceğimi söylediler fakat hastayım. Zaten ayrıca bana kapımdan alınacağını bildirdiler. Ve bu yapılmadığı için onlar hatalı. Burada N11'de suçlu onun yerine başka bir kurye gönderebilirlerdi. Beni mağdur etmemeleri gerekirdi."
PTT Kargom Bilgilendirme Yapılmadan Başkasına Teslim Edildi,"PTT İzmir Narlıdere kargo siparişimi herhangi bir bildirimde bulunmaksızın, kargo takip bilgileri de bildirmeksizin evde kimse yokken birilerine teslim etmiş. Beni aramadan, kod istemeden adı belirsiz birine teslim etmiş. Telefonlarını da açmıyorlar. İletişim sağlayamıyorum."
Kırık Ve Eksik Gelen Yemek Takımı İçin Tedarik Sorunu,N11 bir sitesi üzerinden. Yemek takımı siparişi verdim. Yemek tabağı defalarca kırık hasarlı geldi. Ekte yer alan görsellerde. Satıcı ile görüşmem bulunuyor. Satıcı ürünün Tedariğini yapamayacağını iletti fakat yasal olarak benim tedarik hakkım bulunuyor. Böyle bir saçmalığı kabul etmiyorum. Böyle bir durum söz konusu bile olamaz. Ben 11 kişilik bir yemek takımı almadım. Parçanın tedariği için desteğinizi rica ederim
Bazı Bölgelere Kargo Gönderimiyle İlgili Şikayet,"N11 adlı sanal alışveriş sitesi, Doğu ve Güneydoğu illerine kargo göndermiyor. Şanlıurfa'dan sipariş veriyorum ama asla kargoyu onaylamıyor. 'Bulunduğunuz bölgeye kargo gönderilemiyor' uyarı butonuyla karşılaşıyorum. Bu ayrımcılık bitene kadar N11 adlı sanal siteyi her yerde şikayet edeceğim."
Teslim Edilmeyen Ürün Ve Yetersiz Müşteri Desteği,"Eşim N11'den yurt dışı ürünü aldı, teslim edildi görünüyor ama kargo takibine girildiğinde hâlâ gümrükte. Bir ay olacak, ortada ürün yok. Ne müşteri temsilcisine ulaşabiliyoruz ne de canlı desteğe. Ne biçim bir şirket! Artık bir çözüme ulaşmasını istiyorum. Bir daha da alışveriş yapacağımı sanmıyorum. Hiçbir şekilde bir yetkili yok karşınızda. Ve bugün eşime N11 üyeliğini iptal ettiklerine dair mail gönderdiler. N11 sitesi."
Sürekli Ertelenen Teslimat Ve Çözüm Sunmayan Müşteri Hizmeti Mağduriyeti,"N11'den ayın 10'unda satın aldığım ve 2 gün içinde teslim edileceği belirtilen ürünün teslimat tarihi sürekli güncellenerek değiştirildi. Ayın 14'ünde talep açarız, kargo ile ilgileneceğiz dediler. 14'ü oldu, hâlâ bir gelişme yok. Sürekli oyalıyorlar. Yardımcı olmak bir yana, hak mağduriyetime sebep oluyorlar. Süreli bir ürün aldık ama yurt dışı kargo geldi, hâlâ bunlardan aldığım kargo gelmedi. Müşteri mağduriyetini çözecek bir çözüm üretilmesini bekliyorum."
N11 Klima Montajında Gecikme Ve Mağduriyet!,"03.07.2025 günü N11 alışveriş sitesi üzerinden Vsoutlet isimli satıcıdan almış olduğum klima, 04.07.2025 tarihinde GPS Line Lojistik dağıtım ile kargolanmış, sistem üzerinden bakıldığında ise 08.07.2025 tarihinde kurulumu yapacak olan Vestel yetkili servisi Demirönen firması tarafından teslim alındığı görülmüştür. Yetkili servisin aynı gün araması ve 09.07.2025 günü montaj için kuruluma gelineceği, ayrıca kurulum için mevcut klimanın sökülmesini istemeleri üzerine tarafımca ücret karşılığında acil bir şekilde mevcut klimalarım söktürüldü. Kendi işimi ve vaktimi harcayarak montaj günü beklediğim sırada Vestel yetkili servis tarafından aranarak, ürünün dış ünitesinin teslim edilmediği gerekçesiyle 11.07.2025 günü montaj için gelineceği tarafıma bildirildi. Evde klimaların kendi istekleriyle söküldüğünü, 2 aylık bebeğim olduğunu ve il dışından misafirlerim geleceğini, çok mağdur edildiğimi Vestel yetkili servise ilettim; fakat perşembe veya cuma günü olabileceği söylendi. Tekrar verilen montaj günü olan 11.07 tarihinde işimi ve zamanımı ayarladım; ancak montaj saati geçtikten sonra Konyaaltı Demirönen Vestel yetkili bayisini aradığımda, öncelikle 1 saat içinde kuruluma gelineceği, bir süre sonra ise tekrar aranarak klima montajına gelinemeyeceği, dış ünitenin kayıp olduğu ve yapılacak bir şey olmadığı söylendi. Bunun üzerine hem Vestel firmasına hem de satın aldığım N11 sitesine durumu bildirdim; fakat herhangi bir aksiyon alınmadı ve ücretini ödemiş olduğum klimanın taahhüt edilen tarihte teslim edilmemesi ve hâlâ sürecin bir bilinmez olması nedeniyle temmuz sıcağında klimasız olarak evimde, bebek ve misafirlerle ciddi sorunlar yaşadık. Hem maddi hem de ciddi anlamda manevi olarak zarara uğradım ve bu durumu bildirmeme rağmen herhangi bir gelişme olmadığını gördüğüm için sorumlu olduğunu düşündüğüm N11 firması, satıcı Vsoutlet firması, nakliye firması GPS Line Lojistik ve Konyaaltı Vestel bayii Demirönen firmasından şikayetçi olduğumu belirtir ve gereğinin yapılmasını arz ederim."
N11 Üzerinden Alınan Üründe İade Mağduriyeti Yaşadım,"N11 aracılığıyla Kocaeli/Gebze bölgesinde faaliyet gösteren Erdem Ticaret firmasından Arçelik AC 6030 uzaktan kumandalı hava soğutucu ürününü 4 Temmuz 2025 tarihinde satın aldım. Ürün geldiğinde herhangi bir soğutma sağlamadığı için iade oluşturdum ve iadesini kargo aracılığıyla sağladım. Bugün, 14 Temmuz'da N11 tarafından aranıp firmanın iadeyi kabul etmeyeceği, tekerlerden birinin çıkmış olduğu ve ekranda parmak izlerinin bulunduğu gibi nedenler sıralandı. Sonrasında firmaya ulaştığımda ise N11'in bana hiç bahsetmediği iki farklı problemden, kutuda hasar olduğu ve üründe kıl bulunduğu söylendi. Kutuda olan hasar için kargo firması tarafından tutanak dahi tutulmamış."
"N11'den Aldığım Yataş Yorgan Siparişim Kargolanmadı, Mağdur Edildim","N11 sitesinden aldığım 202488974535 sipariş numaralı Yataş yorgan, 1 haftayı geçtiği halde kargolanmadı. N11 canlı bağlantı üzerinden defalarca yazmama rağmen, bana 100 TL hediye çeki verelim gibi komik bir yaklaşımda bulundular. Aynı ürünü başka bir siteden almak istesem, şu an indirimden çıkmış ve üzerine 400 TL eklenmiş durumda. N11 sitesini tercih ettiğim için pişman oldum. İlgilenen yok, mağaza ise beni suçlayan bir tutum sergiliyor. Zaten sistem sürekli 100 TL hediye çeki veriyor."
Yanlış Kargo Firmasıyla Gönderim Ve Yetersiz Müşteri Desteği,N11'den klima satın aldım. Ürünün altında Aras Kargo ile gönderileceği yazdığı halde Horoz Lojistik firmasına verilmiş. Bu yüzden henüz teslim almadığım ürünü iade etmek istiyorum. Bu konu hakkında N11 yetkilileri yardımcı olmuyorlar. Artık alışveriş yapmaktan nefret eder olduk.
"N11 Siparişimde Beden Ve Fiyat Sorunu, Müşteri Hizmetlerinden Yanıtsız Kaldım!","N11 üzerinden Pierre Cardin markasından t-shirt aldım, ürünün üzerinde yazan beden ile etiketteki beden farklı. Ürünü indirimden ve kuponla aldım. Şu an fiyat farklı N11 yapılan hatanın arkasında durmuyor. Tarafınıza dönüş yapacağız. Demelerine rağmen dönüş yapılmadı."
N11 Siparişlerim Sürekli İptal Ediliyor Fiyatlar Artırılıp Tekrar Satışa Sunuluyor,N11'den siparişlerim sürekli iptal ediliyor. Google araması ile bulduğum ürün için son sipariş de iptal edildi. Son 4 siparişimin 2 si onaylanmadığı için iptal edildi. Daha sonra fiyatları artırıp tekrar satışa koydular. Tüketici kanunu göre bizim haklarımız neler!? Herhangi bir hakkımız var mı bu ülkede? Ülkenin son 20 yılda geldiği hal gerçi ortada. Fotoğraflar ekran görüntüleri ektedir.
N11 Satıcı Destek Eksikliği Ve Ürün Onay Sorunu,N11 satıcısı oldum fakat günlerdir ürünlerimi onaylamıyor ayrıca ulaşabileceğimiz hiçbir telefonları dahi yok satıcı destek paneli yok böyle başıboşluk görmedim. Ben gerçekten adamlar salmışlar ya N11 mahalle bakkalı gibi bir şey olmuş. Mağaza destekten mesaj atıyorum kimse geri dönüş yapmıyor. Ürün satmak istiyorum. Nasıl olacak bilmiyorum. Yardımcı olursanız sevinirim.
Siparişlerin Nedensiz İptali ve Gecikmeler Hakkında Şikayet,N11 siparişleri göndermeyip iptal ediyor. Daha önce de aldığım 208765437736 numaralı sipariş iptal edilmişti. 206714464535 siparişimde iptal edildi. Siparişi alıyorlar. Günlerce oyalayıp sonra iptal ediyorlar. Tamamen saçma sapan bir durum dalga geçiyorlar. Stok veya fiyatı bahane ediyorlar.
N11’den Alınan PlayStation Kolunun Garanti İşlemlerinde Kimse Yardımcı Olmuyor,"N11'den satın aldığım dualsense PlayStation kolumu garantiye gönderemiyorum. Canlı desteğe bağlanıyorum, Sony müşteri hizmetleri ile konuşun diyor. Sony 'de bana ürünün ithalatçı garantili olduğunu söylüyor. N11 asla yardımcı olmuyor, talep oluşturduk sizi bilgilendireceğiz diyor. Garantiye göndermek istiyorum. Neyin talebi bu. Satıcısı da N11'di zaten. N11'den alışveriş yapılmaz şu saatten sonra."
Teslimat Gecikmesi Mağduriyetine Acil Çözüm Talebi,Merhaba
"Kayıp Kargo Nedeniyle İade Sürem Doluyor, Mağduriyetim Çözülmüyor","6 Temmuz'da N11, Trendyol, Teknosa gibi siteler üzerinden bilgisayar parçası siparişi verdim. Tüm parçalar elime ulaştı, ancak N11 üzerinden sipariş verdiğim PSU 8 Temmuz'dan itibaren kayıp. Aras Kargo denen firma nasıl oluyor da bu ürünü kaybediyor, unutuyor ya da çaldırıyor? Şubelerinin birbirlerinden haberleri yok. Bu iş bilmez firma yüzünden diğer ürünlerimin 14 gün iade süreleri doluyor, bu ürünlerden biri bozuk çıkarsa ben nasıl iade edeceğim süresi dolduktan sonra? N11'e durumu bildirdim, ürünün bana ulaşmadığı ve ulaşmayacağı apaçık ortada olmasına rağmen hala bekletiyor, iaden kargoda diyor, ortada kargo yok, işleri güçleri insanı uğraştırmak, oyalamak. Her iki taraftan da şikayetçiyim."
N11den Aldığım Braun Ateş Ölçer İadesi Usulsüz Şekilde Reddedildi Ücretim Ödenmiyor,"N11 sitesinden 01.017.25'de almış olduğum Braun marka ateş ölçer, doğru ölçüm yapmadığı için yasal iade süresi içerisinde iade ettim ancak ücret iadem yapılmıyor. Red edildiği söyleniyor. Tamamen usulsüz bir şekilde. Ücretimin iadesini talep ediyorum."
"Yurtdışı Siparişim Gümrükte Kaldı, Müşteri Hizmeti Yok","N11'den yurtdışı ürünü aldım, teslim edildi görünüyor ama kargo takibine girildiğinde hâlâ gümrükte. Bir ay olacak, ortada ürün yok. Ne müşteri temsilcisine ulaşabiliyorum ne de canlı desteğe. Ne biçim bir şirket! Artık bir çözüme ulaşmasını istiyorum. Bir daha da alışveriş yapacağımı sanmıyorum. Hiçbir şekilde bir yetkili yok karşınızda."
"N11 Kampanyalı Fiyatla Aldığım Telefon Kargoda Kayboldu, Mağduriyetim Giderilmiyor!","10 Temmuz 2025 tarihinde N11 üzerinden Teknosa satıcısından verdiğim Xiaomi 14T 12/256 GB (Sipariş No: 201343174534) siparişim Aras Kargo tarafından kaybedildi.
Kargo Takip No: 5646259519071
En son 11 Temmuz 2025 saat 04:31’de İkitelli Transfer’de araç yüklemesi görünmekte, fakat o saatten sonra ürün hareket etmedi ve teslim edilmedi."
Teslim Edilmeyen Siparişe Ulaşamama Ve Müşteri Hizmetleri Sorunu,N11 den aldığım siparişim teslim edildi. Görüldüğü halde elime ulaşmadı. Asistana bağlanmaya çalışıyorum olmuyor. Yazılı olarak müşteri temsilcisine bağlanmaya çalıştım 5 dakika bekledim bağlamadılar. Ücretini ödediğim ürün ne elime geçti ne de ulaşabileceğim bir yer bulamıyorum.
Kırık Ve Kullanılmış Ürün İadesinde Haftalarca Sonuç Alamadım,"N11'den smfeticaret satıcısından 27 Haziran'da 3,5 litre Fissler düdüklü tencere siparişi verdim. Gelen düdüklü tencere hem kırık hem de kullanılmıştı. Aynı gün içinde ürünü tekrar kargoya verip iade talebi oluşturdum. Şu an tarih 14 Temmuz olmasına rağmen ne iadem gerçekleşti ne de iademe cevap verildi. N11 yetkilileri ise sürekli beklemem gerektiğini söyleyerek benimle ilgilenmiyor. Mağduriyetimin giderilmesini beklerken ücretimin ödenmesi gerekirken, sadece beklemem isteniyor. Bu süreci Tüketici Hakem Heyeti'ne taşıyacağım."
"Teslim Edilmeyen Ürün, İade Sorunu Ve Mağduriyet","Öncelikle n11.com'dan alışveriş yaptığım için bin pişmanım. Ki pek alışveriş yapmam oradan. n11.com'dan Besta Bilişim'den bir harddisk sipariş ettim. 26 Haziran 2025. 1.739 TL. 3-4 gün sonra Aras Kargo teslim etti diye mesaj geliyor. Halbuki o gün bütün evdeydim. Sonra iadeye vermişler. Ben o arada ikinci el alıp koymak zorunda kaldım. Aciliyetimden dolayı. Bundan dolayı ürünü almama gerek kalmadı. Fakat firma elime geçmiş de sanki ben keyiften iade ediyormuşum gibi 30 Haziran'da, 7 Temmuz'da değişimi reddetti diye mesaj gönderiyor. İkincisi şu an yazdığım tarih 13.07.2025. Sitede hala ""iaden kargoda"" gibi bir ibare durmakta. Hala çözüm bulamadım. Param da bağlandı. Maalesef bu ülkede bir şeyleri çözmek çok zor olduğu için siz mağdur olsanız da fark etmiyor. Sen bana bu saatten sonra göndersen ben ne yapayım. Bir daha... Olsun buralardan alışveriş yaparsam."
İptal Edilen Siparişte İade Ve Destek Sorunu: Müşteri Hizmetleri Yetersizliği,"N11 üzerinden yaptığım bir alışverişi ürünler elime ulaşmadan iptal ettim, bana kendi çalışanları ürünleri kargodan almazsam rahatlıkla iptal olacağını söyledi. Öyle de yaptım ve kargodan hiç teslim almadan direkt ifadelerini bekledim. Ama bu süreçte iade talebinde bulunduğum ürünler durduk yere iptal edilip durdu, bugün de aynısı oldu ve tekrardan canlı destek kısmına yazdım. Asistanlarının verdiği umursamaz ve yardım etmekten uzak, isteksiz cevapları gerçekten çok sinir bozucu. Ben burada çözüm arıyorum ama adamlar resmen ""ne yaparsan yap"" havasındalar. Bir daha N11 üzerinden tövbe alışveriş yapmam. Bir de güvenilir sanıp oradan yapıyordum tüm alışverişlerimi, başka e-ticaret siteleri en azından sorun çözmek için hevesli ve ilgili davranıyor. Ayrıca ürünler elimde olmadığı halde param iade edilmezse en kısa sürede Tüketici Hakem Heyeti'ne başvuracağım. Ben her seferinde iptal talebimi yenilemekle mi uğraşacağım, bu ne saçmalık?"
Sipariş İptali Ve Kupon İndirimi Mağduriyeti,"209336754533 sipariş numarası ile N11'den iki adet ürün satın aldım. Satıcılardan Armağan Oyuncak hızlı bir şekilde kargolama yaparken, diğer satıcı olan Uğurböceğiçocuk ise 2 gün beklettikten sonra ürünü onaylamadı. Stok takip programından habersiz olarak çalışan bu yetersiz satıcı yüzünden, toplam tutara uygulanan sepet kuponu ve indirimlerden zarara uğradım ve daha fazla ödemek zorunda kaldım. Gereğinin yapılarak oluşan zararımın karşılanmasını talep ediyorum.
İlaveten, N11 asistanının alt limitsiz olarak hesabıma tanımlayacağını iddia ettiği kupon uygulanmamıştır. Şimdi N11 tarafından kuponsuz ve indirimsiz fiyat üzerinden ödemek zorunda bırakıldım; ancak bana yapılacak geri ödeme tutarı aynı olmayacak. Bu durum ahlaklı, ilkeli ve adil değildir."
"Kullanılmış Ürün Gönderildi, İade Talebim Haksızca Reddedildi","04.07.2025 tarihinde N11'den Philips epilasyon cihazı siparişi verdim. Paketi açtığımda, güvenlik bandı olarak adlandırılan hijyen bandı neredeyse açılmıştı. Ürün barkod numarasını okuttuğumda herhangi bir orijinal ibaresi bulamadım ve kutu güvenliği içime sinmediği için, herhangi bir zarar vermeden aynı gün içinde ürünü iade ettim. Fakat ürünü kullanmış olduğumu söyleyerek iade talebim reddedildi. Kutu açılışını aynı gün yaptığım ve ürünü hemen iade ettiğim halde, nasıl kullanmış olabilirim? Kullanılmış bir ürünü kullanmak istemiyorum ve para iademin en kısa sürede yapılmasını istiyorum. N11 satıcısına güvenerek alışveriş yaptım fakat bana kullanılmış ürün gönderdiler. Mağduriyetimin giderilmesini talep ediyorum."
Sürekli Ertelenen Teslimat Ve Oyalama Taktikleri,"16 Haziran'da N11'den yurt dışı siparişi verdim. 1 Temmuz teslim tarihi olarak görünüyordu. Yurt dışı olunca biraz gecikme olur diye düşündüm, 2 Temmuz normaldi. Sonra 3 Temmuz oldu, ardından 5 Temmuz. Bir baktım, 7 Temmuz ve teslim tarihi sürekli ileri atılıyor. Ürün sözde gümrüğe geldi ve orada takıldı. Gümrük süreci uzadı dediler. Sonra teslim tarihi 10 Temmuz oldu. Bir baktım, 12 Temmuz, ardından 14, 15, 16, 17 derken artık bakmayı bıraktım. Üçüncü kez verdikleri cevap yine aynı: Gümrük süreci uzadı vesaire. N11'den sonra Hepsiburada'dan yine yurt dışı siparişi verdim. Bir hafta sonra verdim ve ürün geleli 10 gün oldu. Yani gümrükte yoğunluk yok; eğer varsa, bu N11'e özel bir durum. En son aradıklarında, cumartesi yani dün, artık gümrük sürecinin biteceğini, yoğunluğun geçeceğini söylediler. Şimdi siparişlerimde ürün teslim edildi görünüyor, fakat kargo takibinde hâlâ gümrükte. Bana söylenen ise, haftaya ürününüz hareketlenir, gümrükte yoğunluk var. Öyle bir sürece geldim ki, artık yurt dışı sipariş vermek istemiyorum. Hatta yurt içi siparişlerimde dahi bir daha kullanmayı düşünmüyorum. Şu anda bu şirkette müşteri memnuniyetinin ve işini layıkıyla yapmanın zerresi yok. Sadece sistem üzerinden müşterileri oyalama taktiği var; bana göre bile isteye yanıltıyorlar. Başka yaptıkları bir şey yok."
Yanlış Ürün Gönderimi Ve Mağazaya Ulaşılamaması Nedeniyle Mağduriyet,"N11 satış platformundan, Citycenter mağazasından yorumlara bakarak büyük boy çanta siparişi verdim. İki adet çanta siparişimin yerine, farklı boyda aldığım çanta gönderildi. Büyük boy olan gönderilmedi. Mağazaya yazdığım mesajlara ise dönüş yapılmadı. Kargo gelince hemen N11 müşteri hizmetlerini aradım.
Kargo çıkışında pakette iki adet çanta çıkışı yapılmıştı, ancak paket küçüktü ve dikkat edilmemesi mümkün değildi. N11 müşteri hizmetlerini arayıp talep açtırdım; onlar da defalarca aramalarına rağmen mağazaya ulaşamadı. Ertesi gün N11'i tekrar aradım. Elime geçmeyen ürün için iade oluşturmamı istediler. İade oluşturdum, şu an beklemedeyim. 10 gündür paramın geri iadesi için yazdığım mesajlara cevap verilmiyor. N11 müşteri hizmetleri ile görüştüm, onlar bile mağazaya ulaşamadı. Hem kuponum gitti, hem de boşu boşuna iade ile uğraşıp paramın yatmasını bekliyorum. Mağdur edildim. Hakkıma tanınan kuponum da gitti, sadece N11 özür diledi."
